,Registration_Number,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,CTC,Joining_date,Leaving_date,Role,JobCity,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Deg,Branch,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GradYear
64,201201065,0.6646,0.3448,0.8171,0.6498,0.0284,444,555,695,0.999904558,804,-1,-1,-1,-1,-1,-1,600000,01-07-2010 00:00,01-07-2012 00:00,java software engineer,Gurgaon,m,29-05-1986 00:00,,cbse,2004,83.0,cbse,1431,1.0,B.Tech/B.E.,information technology,72.13,1431,1,Delhi,2010.0
65,201201066,0.99,1.2114,-0.2974,-1.1218,1.247,630,580,510,0.33878634700000004,-1,292,-1,-1,-1,-1,-1,310000,01-02-2014 00:00,01-05-2014 00:00,system engineer,Mysore,m,02-12-1990 00:00,89.37,state board,2009,79.0,state board,4147,2.0,B.Tech/B.E.,applied electronics and instrumentation,70.0,4147,0,West Bengal,2013.0
66,201201067,-0.2628,-0.1232,0.0914,-1.2303,-0.1295,505,525,595,0.124502074,615,233,-1,-1,-1,-1,-1,455000,01-01-2011 00:00,01-09-2013 00:00,system engineer,Bangalore,m,29-08-1989 00:00,90.0,"state board of secondary education, andhra pradesh",2006,94.4,"state  board of intermediate education, andhra pradesh",3629,2.0,B.Tech/B.E.,electronics and communication engineering,76.12,3629,0,Andhra Pradesh,2010.0
67,201201068,-1.8825,-3.7836,-2.4491,0.9066,-1.8189,510,500,575,0.493596387,455,324,-1,-1,-1,-1,-1,400000,01-08-2014 00:00,01-02-2015 00:00,test engineer,Bangalore,f,05-08-1991 00:00,81.0,icse,2010,79.0,icse,1620,2.0,B.Tech/B.E.,electronics and communication engineering,71.5,1620,0,Uttar Pradesh,2014.0
68,201201069,-0.8809999999999999,1.4368,0.3817,-0.4078,-0.1295,535,465,535,0.9107701640000001,445,433,-1,-1,-1,-1,-1,150000,01-07-2010 00:00,01-01-2012 00:00,recruitment coordinator,Chennai,f,18-03-1989 00:00,78.0,matriculation,2006,86.67,state board,5295,2.0,B.Tech/B.E.,instrumentation and control engineering,77.55,5295,1,Tamil Nadu,2010.0
69,201201070,-0.0154,0.8784,0.01,-0.7415,-0.2859,570,410,535,0.670743151,455,-1,-1,-1,-1,-1,-1,250000,01-06-2015 00:00,present,software developer,Mangalore,m,15-01-1993 00:00,84.4,cbse,2011,73.2,cbse,2096,2.0,B.Tech/B.E.,computer science & engineering,70.0,2096,0,Punjab,2015.0
70,201201071,-1.4517,-1.4526,-1.2196,1.794,-2.3937,625,645,605,0.9820571240000001,385,388,-1,-1,606,-1,-1,320000,01-03-2014 00:00,present,system engineer,Chennai,m,12-12-1992 00:00,89.0,state board,2009,92.0,state board,10090,2.0,B.Tech/B.E.,electrical engineering,76.4,10090,1,Telangana,2013.0
71,201201072,1.1336,1.3779,2.1617,-0.995,1.0554,665,545,415,0.911395278,405,-1,500,-1,-1,-1,-1,250000,01-05-2014 00:00,present,java software engineer,Rajkot,m,03-12-1990 00:00,86.0,gujarat state board,2008,64.0,state board,8053,2.0,B.Tech/B.E.,information technology,61.17,8053,0,Gujarat,2013.0
72,201201073,1.1336,1.0449,0.1637,-1.2486,0.0973,675,480,500,0.842248322,425,-1,469,-1,-1,-1,-1,200000,01-06-2014 00:00,01-01-2015 00:00,technical support engineer,Bangalore,m,21-12-1992 00:00,,icse,2010,75.0,cbse,2194,2.0,B.Tech/B.E.,computer science & engineering,60.0,2194,1,Karnataka,2014.0
73,201201074,-0.159,0.8784,1.2396,0.2727,-0.6692,510,480,485,-1.0,-1,-1,-1,-1,-1,-1,-1,240000,01-06-2014 00:00,01-04-2015 00:00,android developer,Greater Noida,m,06-07-1992 00:00,75.0,cbse,2009,64.0,cbse,1928,2.0,B.Tech/B.E.,computer science & engineering,67.0,1928,0,Uttar Pradesh,2014.0
74,201201075,0.1282,0.0459,0.1637,0.0192,-0.0943,325,510,295,0.018540942,415,-1,192,-1,-1,-1,-1,120000,01-04-2015 00:00,01-08-2015 00:00,data analyst,Indore,f,10-08-1991 00:00,,state board,2009,77.0,state board,5694,2.0,B.Tech/B.E.,computer science & engineering,75.0,5694,0,Madhya Pradesh,2013.0
75,201201076,0.5591,0.2124,-1.2196,-0.7415,-0.8608,580,485,510,0.053160305,285,196,-1,-1,-1,-1,-1,300000,01-09-2014 00:00,present,programmer analyst,Bangalore,m,03-09-1992 00:00,70.6,cbse,2010,78.67,state board,1914,2.0,B.Tech/B.E.,electronics and communication engineering,75.84,1914,1,Karnataka,2014.0
76,201201077,-0.4173,0.9688,-0.1988,-0.2902,0.3049,515,475,635,0.9421165509999999,575,-1,-1,-1,-1,-1,-1,800000,01-06-2012 00:00,present,software engineer,Bangalore,m,25-01-1991 00:00,93.44,karnataka state board,2008,90.0,karnataka state board,3601,2.0,B.Tech/B.E.,computer engineering,87.6,3601,0,Karnataka,2012.0
